"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","sona_id","success","question_order","slider_start","practiceTrial","practiceTrialNum","correct","scale","concept"
"1188","Welcome to our experiment!<p>At the bottom of this screen, you will see a button that says ""Begin Experiment"".<br>Please only click that button when you are ready to complete the 25 minute experiment in one sitting.</p><p> Once you click that button, it will not be possible to restart the experiment.","0","html-button-response","0","1191","0.0-0.0","nqlvh584p3","0","87182","","","","","","","",""
"1592","","","fullscreen","1","3787","0.0-1.0","nqlvh584p3","0","87182","true","","","","","","",""
"6850","","{""Consent"":[""<strong>I consent</strong>""]}","survey-multi-select","2","10642","0.0-2.0","nqlvh584p3","0","87182","","[0]","","","","","",""
"2416","Welcome! <p> This experiment involves two parts: demographic information, followed by the experimental task.<p> It will take about 25 minutes to complete both parts.","0","html-button-response","3","13059","0.0-3.0","nqlvh584p3","0","87182","","","","","","","",""
"12962","","{""Age"":""18"",""Gender"":""Female"",""Race/ethnicity"":""White"",""Languages"":""English""}","survey-text","4","26028","0.0-4.0","nqlvh584p3","0","87182","","","","","","","",""
"7319","
                        <div style=""height:680px;"">
                            <div style='text-align:left; font-size:20px; line-height:25px; width: 1400px;'>
                                During this experiment you will be presented with a series of concepts, one at a time, from the set below:                             </div>

                           <div style=""text-align: left; width: 1500px;"">
                                <p style=""font-size:20px; line-height:20px;"">bear, bird, lion, frog, fish, airplane, car, boat, truck, train, apple</p>
                                <p style=""font-size:20px; line-height:20px;"">banana, cherry, grape, peach, carrot, celery, corn, eggplant, mushroom, blizzard</p>
                                <p style=""font-size:20px; line-height:20px;"">drought, hurricane, lightning, sandstorm, evil, greed, justice, love, peace, driving</p>
                                <p style=""font-size:20px; line-height:20px;"">eating, sleeping, leisure, working, comfort, efficiency, speed, safety, reliability, undefined</p>
                                <p style=""font-size:22px; line-height:18px;""></p>
                            </div>
                            <div style='text-align:left; font-size:20px; line-height:25px; width: 1400px;'>
                                For each concept, you will be asked to rate where you think it falls on each of the response scales with the following endpoints:
                            </div>
                            <div style=""text-align: center; width: 1400px; "">
                                <p style=""font-size:25px; line-height:18px; "">awful vs. nice</p>
                                <p style=""font-size:25px; line-height:18px; "">little vs. big</p>
                                <p style=""font-size:25px;line-height:18px;"">slow vs. fast</p>
                                <p style=""font-size:25px;line-height:18px; "">sour vs. sweet</p>
                                <p style=""font-size:25px;line-height:18px; "">powerless vs. poweful</p>
                                <p style=""font-size:25px;line-height:22px;"">quiet vs. noisy</p>
                            </div>
                            <div style='text-align:left; font-size:20px; line-height:25px; width: 1400px;'>
                                Each trial will include one concept word and one response scale. You will be asked to make your rating by sliding the cursor along a slider response scale.                                Before beginning, please look at the list of concepts and scales.                                 For each scale, think about the concept you associate most with the left endpoint.                                When you see that concept for that response scale, please click near the left of the scale.                                Now, please think about the concept you associate most with the right endpoint of each scale. 
                                When you see that concept for that response scale, please click near the right of the scale. 
                                Please use the full range of the scale.                                That is, if you believe a concept is somewhat associated with both endpoints, you would click at the midpoint of the scale.                                You will be asked to rate each concept for a given scale before moving on to the next.<br>Press the 'Continue' button for instructions on how to use the slider.

                            </div>
                                <!-- Centered text paragraphs -->
                            
                        </div>
                            ","null","html-slider-response","5","33350","0.0-5.0","nqlvh584p3","0","87182","","","0","true","","","",""
"1903","<div style=""width:800px;""><p style=""text-align:left"">To move the slider, click and drag your cursor to the location of the scale where you would like to make your rating and then let go. When you let go of the slider, your response will be recorded and the next trial will begin. <br>
                    We are interested in your initial impressions of each concept for a given scale, so please go with your first intuition. <br>
                    Before you begin the experiment, there will be four training trials for you to practice using the slider. <br>
                     When you are ready to start the training trials, please click ""Continue"".</p><br></div>","0","html-button-response","6","35254","0.0-6.0","nqlvh584p3","0","87182","","","","","","","",""
"NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider all the way to the <br> right endpoint of the scale</p>

                                    </div>
                                </div>","200","html-slider-response","7","37257","0.0-7.0-0.0","nqlvh584p3","0","87182","","","0","true","0","true","",""
"921","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","html-button-response","8","38681","0.0-7.0-1.0","nqlvh584p3","0","87182","","","","","","","",""
"NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider all the way to the <br> left endpoint of the scale</p>

                                    </div>
                                </div>","-200","html-slider-response","9","40192","0.0-8.0-0.0","nqlvh584p3","0","87182","","","0","true","1","true","",""
"954","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","html-button-response","10","41649","0.0-8.0-1.0","nqlvh584p3","0","87182","","","","","","","",""
"NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and right endpoint of the scale</p>

                                    </div>
                                </div>","110","html-slider-response","11","45159","0.0-9.0-0.0","nqlvh584p3","0","87182","","","0","true","2","true","",""
"667","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","html-button-response","12","46330","0.0-9.0-1.0","nqlvh584p3","0","87182","","","","","","","",""
"NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and left endpoint of the scale</p>

                                    </div>
                                </div>","-101","html-slider-response","13","48610","0.0-10.0-0.0","nqlvh584p3","0","87182","","","0","true","3","true","",""
"732","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","html-button-response","14","49845","0.0-10.0-1.0","nqlvh584p3","0","87182","","","","","","","",""
"895","<p>Great job! You've completed the practice trials. Now you will begin the main task.</p>","0","html-button-response","15","50741","0.0-11.0","nqlvh584p3","0","87182","","","","","","","",""
"2094","<p>In this block of trials, you will be asked to rate how much you associate each concept on a scale where the endpoints are:</p > <p style = 'font-size:150%; font-weight: bold'>powerless vs. poweful</p><br></br>","0","html-button-response","16","52836","0.0-12.0","nqlvh584p3","0","87182","","","","","","","",""
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >airplane</p>
                        </div>","156","html-slider-response","17","54954","0.0-13.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","airplane"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >efficiency</p>
                        </div>","134","html-slider-response","18","57576","0.0-14.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","efficiency"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >boat</p>
                        </div>","135","html-slider-response","19","60218","0.0-15.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","boat"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >justice</p>
                        </div>","122","html-slider-response","20","63050","0.0-16.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","justice"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >train</p>
                        </div>","178","html-slider-response","21","65923","0.0-17.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","train"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >apple</p>
                        </div>","-169","html-slider-response","22","68089","0.0-18.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","apple"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >banana</p>
                        </div>","-186","html-slider-response","23","70119","0.0-19.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","banana"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >working</p>
                        </div>","118","html-slider-response","24","72190","0.0-20.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","working"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >peach</p>
                        </div>","-169","html-slider-response","25","75372","0.0-21.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","peach"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >sandstorm</p>
                        </div>","130","html-slider-response","26","78695","0.0-22.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","sandstorm"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >drought</p>
                        </div>","89","html-slider-response","27","80694","0.0-23.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","drought"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >love</p>
                        </div>","200","html-slider-response","28","82273","0.0-24.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","love"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >celery</p>
                        </div>","-169","html-slider-response","29","84066","0.0-25.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","celery"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >corn</p>
                        </div>","-184","html-slider-response","30","85707","0.0-26.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","corn"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >sleeping</p>
                        </div>","58","html-slider-response","31","87397","0.0-27.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","sleeping"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >carrot</p>
                        </div>","-175","html-slider-response","32","89287","0.0-28.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","carrot"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >blizzard</p>
                        </div>","138","html-slider-response","33","91034","0.0-29.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","blizzard"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >comfort</p>
                        </div>","0","html-slider-response","34","93221","0.0-30.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","comfort"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >safety</p>
                        </div>","190","html-slider-response","35","94887","0.0-31.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","safety"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >cherry</p>
                        </div>","-174","html-slider-response","36","96862","0.0-32.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","cherry"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >lion</p>
                        </div>","154","html-slider-response","37","98667","0.0-33.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","lion"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >bird</p>
                        </div>","-29","html-slider-response","38","100551","0.0-34.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","bird"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >reliability</p>
                        </div>","151","html-slider-response","39","102193","0.0-35.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","reliability"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >car</p>
                        </div>","162","html-slider-response","40","103811","0.0-36.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","car"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >speed</p>
                        </div>","181","html-slider-response","41","105342","0.0-37.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","speed"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >fish</p>
                        </div>","-121","html-slider-response","42","106913","0.0-38.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","fish"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >eggplant</p>
                        </div>","-153","html-slider-response","43","108739","0.0-39.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","eggplant"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >peace</p>
                        </div>","196","html-slider-response","44","112169","0.0-40.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","peace"
"NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >bear</p>
                        </div>","91","html-slider-response","45","113943","0.0-41.0","nqlvh584p3","0","87182","","","0","","","","powerless vs. poweful","bear"
